List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
107,16,FA2,Tushar Deshpande,India,29,BOWLER,LHB,RIGHT ARM Fast,CSK,13,Capped,100
108,16,FA2,Lockie Ferguson,New Zealand,33,BOWLER,RHB,RIGHT ARM Fast,RCB,7,Capped,200
109,16,FA2,Bhuvneshwar Kumar,India,35,BOWLER,RHB,RIGHT ARM Fast Medium,SRH,16,Capped,200
110,16,FA2,Mukesh Kumar,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,DC,10,Capped,200
111,17,SP2,Allah Ghazanfar,Afghanistan,19,BOWLER,RHB,RIGHT ARM Off Spin,KKR,0,Capped,75
112,17,SP2,Akeal Hosein,West Indies,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,Capped,150
113,17,SP2,Keshav Maharaj,South Africa,35,BOWLER,RHB,LEFT ARM Slow Orthodox,RR,2,Capped,75
114,17,SP2,Mujeeb Ur Rahman,Afghanistan,24,BOWLER,RHB,RIGHT ARM Off Spin,,,Capped,200
115,17,SP2,Adil Rashid,England,37,BOWLER,RHB,RIGHT ARM Leg Spin,,,Capped,200
116,17,SP2,Vijayakanth Viyaskanth,Sri Lanka,23,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,3,Capped,75
117,18,UBA2,Ricky Bhui,India,28,BATTER,RHB,,DC,2,Uncapped,30
118,18,UBA2,Swastik Chhikara,India,20,BATTER,RHB,RIGHT ARM Off Spin,DC,0,Uncapped,30
119,18,UBA2,Aarya Desai,India,22,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
120,18,UBA2,Shubham Dubey,India,30,BATTER,LHB,RIGHT ARM Off Spin,RR,0,Uncapped,30
121,18,UBA2,Madhav Kaushik,India,27,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
122,18,UBA2,Pukhraj Mann,India,23,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
123,18,UBA2,Shaik Rasheed,India,20,BATTER,RHB,RIGHT ARM Leg Spin,CSK,0,Uncapped,30
124,18,UBA2,Himmat Singh,India,28,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
125,19,UAL2,Mayank Dagar,India,28,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,RCB,5,Uncapped,30
126,19,UAL2,Anshul Kamboj,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,MI,3,Uncapped,30
127,19,UAL2,Mohd. Arshad Khan,India,27,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,LSG,4,Uncapped,30
128,19,UAL2,Darshan Nalkande,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,GT,3,Uncapped,30
129,19,UAL2,Suyash Prabhudessai,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,RCB,11,Uncapped,30
130,19,UAL2,Anukul Roy,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,KKR,4,Uncapped,30
